Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
DC,Diners Club International,Diners Club,3.094E+13,Alicia S Crawford,106,Jun-12,Jun-29,14,3702,38700
MC,Master Card,Chase,5.36028E+15,Anthony C Sanchez,0,Jan-16,Jan-33,22,8731,31400
JC,Japan Credit Bureau,JCB,3.54707E+15,Jennifer K Potts,740,Aug-10,Aug-15,24,3715,74900
VI,Visa,Cabela’s WFB,4.66785E+15,Rachel V Jenkins,472,Aug-10,Aug-12,21,425,152300
AX,American Express,American Express,3.74521E+14,Howard C Dunlap,7937,Jan-17,Jan-27,28,9677,187700
AX,American Express,American Express,3.47364E+14,Gerald O Lee,3614,Aug-16,Aug-22,23,652,27400
DC,Diners Club International,Diners Club,3.03453E+13,Dorothy H Le,379,Jun-07,Jun-22,8,913,135700
DC,Diners Club International,Diners Club,3.68897E+13,Willie O King,19,Jun-14,Jun-33,27,2447,61700
JC,Japan Credit Bureau,JCB,3.57688E+15,David Z Hood,596,Apr-17,Apr-21,25,5263,42200
MC,Master Card,Chase,5.4535E+15,Aaron Z Ramirez,858,Apr-11,Apr-25,24,1434,52500
MC,Master Card,Citibank,5.17532E+15,Christina G Francis,756,Apr-17,Apr-24,13,8442,12000
AX,American Express,American Express,3.79863E+14,Cynthia Evans,995,Aug-17,Aug-34,25,2735,55700
DS,Discover,Discover,6.01195E+15,Paula E Head,416,Jul-17,Jul-26,27,8279,98000
AX,American Express,American Express,3.70138E+14,Jeremy N White,9594,Jul-09,Jul-16,4,3248,199000
DC,Diners Club International,Diners Club,3.89164E+13,Don P Wooten,423,May-15,May-16,4,2913,198800
MC,Master Card,Chase,5.243E+15,Robert A Long,890,Aug-07,Aug-26,15,2078,134900
MC,Master Card,GE Capital,5.27916E+15,Stanley K Hopper,844,Nov-13,Nov-16,12,4482,80500
MC,Master Card,Wells Fargo,5.34735E+15,Jeremy O Wilson,306,Dec-07,Dec-08,3,4448,19800
DS,Discover,Discover,6.50377E+15,Joyce B Warren,105,Jan-07,Jan-20,18,2394,148600
MC,Master Card,Chase,5.18568E+15,Margaret T Ramirez,833,Jan-09,Jan-18,6,6900,195100
AX,American Express,American Express,3.46716E+14,Marcus D Ashley,2302,Apr-13,Apr-21,6,2724,28400
MC,Master Card,Barclays,5.36168E+15,Frances S Henderson,371,Jun-14,Jun-26,16,4097,28100
AX,American Express,American Express,3.44774E+14,Randall Z Lott,7026,Nov-13,Nov-21,28,2813,44800
AX,American Express,American Express,3.71048E+14,Craig Gonzalez,3664,Aug-15,Aug-25,1,40,30700
DS,Discover,Discover,6.01128E+15,Annie R House,912,Jun-11,Jun-21,1,2612,95300
JC,Japan Credit Bureau,JCB,3.5746E+15,Patricia Williams,147,Apr-15,Apr-27,8,9007,13100
VI,Visa,Citibank,4.66226E+15,Mario D Blanchard,703,Mar-16,Mar-22,15,6865,151200
JC,Japan Credit Bureau,JCB,3.55525E+15,Judith Y Ross,762,Feb-13,Feb-31,17,4037,145600
MC,Master Card,Chase,5.15253E+15,Allen Rodgers,155,Oct-15,Oct-20,9,4658,17300
AX,American Express,American Express,3.46078E+14,Rebecca Jenkins,2963,Feb-14,Feb-20,22,3262,65000
VI,Visa,Chase,4.37127E+15,Francis Koch,813,Nov-16,Nov-25,9,5422,18700
JC,Japan Credit Bureau,JCB,3.54341E+15,Linda T Brown,878,Oct-14,Oct-22,20,6905,139900
DC,Diners Club International,Diners Club,3.00184E+13,Amanda L Soto,751,Apr-07,Apr-20,17,2941,150100
DC,Diners Club International,Diners Club,3.09996E+13,Laura W Richardson,283,Apr-15,Apr-35,5,253,126600
MC,Master Card,Capital One,5.31769E+15,Henry W Ballard,353,Mar-12,Mar-28,12,1432,21500
AX,American Express,American Express,3.41729E+14,Rachel Turner,2134,Jul-15,Jul-28,19,421,186700
DS,Discover,Discover,6.4608E+15,Craig X Keith,177,May-16,May-24,4,257,82100
MC,Master Card,Bank of America,5.19749E+15,Bobby F Walker,351,Oct-15,Oct-24,19,7212,162200
DC,Diners Club International,Diners Club,3.0183E+13,Eleanor Crane,332,Oct-14,Oct-17,26,6331,88300
DC,Diners Club International,Diners Club,3.03166E+13,Laura N Jackson,506,Nov-15,Nov-24,16,900,83900
MC,Master Card,Bank of America,5.18437E+15,Kristen Frank,944,Apr-11,Apr-17,18,5784,145400
MC,Master Card,Chase,5.3995E+15,Rose Jenkins,77,Jun-08,Jun-19,26,2235,184500
JC,Japan Credit Bureau,JCB,3.55481E+15,Brandon B Boone,931,Nov-17,Nov-37,10,8949,192400
MC,Master Card,Bank of America,5.35309E+15,Keith Z Morris,226,Aug-08,Aug-26,28,2482,65800
VI,Visa,U.S. Bancorp,4.46542E+15,Mark Y Sheppard,720,Nov-09,Nov-14,10,5230,124500
MC,Master Card,Capital One,5.26144E+15,Ronald R Stewart,826,Dec-17,Dec-24,24,3823,139100
VI,Visa,GE Capital,4.53069E+15,Vincent U Jordan,481,Mar-13,Mar-19,15,6913,129300
AX,American Express,American Express,3.71829E+14,Walter B Lopez,4580,Sep-09,Sep-12,27,2909,140400
VI,Visa,Citibank,4.5467E+15,Paula R Bryan,943,Apr-09,Apr-27,15,3492,102900
VI,Visa,Citibank,4.33706E+15,Kathy Robinson,489,Mar-11,Mar-19,18,2905,25800
MC,Master Card,Chase,5.28596E+15,Sean J Young,336,Feb-10,Feb-12,10,556,101400
DC,Diners Club International,Diners Club,3.03184E+13,Charles R Brooks,324,Jan-11,Jan-17,23,1808,44600
DS,Discover,Discover,6.012E+15,William N French,500,Oct-16,Oct-26,23,9815,25600
DC,Diners Club International,Diners Club,3.04684E+13,Alice G Mitchell,878,Sep-11,Sep-12,3,7377,68000
VI,Visa,Chase,4.87155E+15,Sandra N Parrish,479,Jun-08,Jun-11,6,9321,20300
JC,Japan Credit Bureau,JCB,3.54066E+15,Jennifer T Turner,256,Jul-10,Jul-16,1,1473,198200
AX,American Express,American Express,3.73818E+14,Charles R Farrell,6890,Oct-12,Oct-30,8,5444,71400
